初句,二句,三句,四句,結句,感情:嬉しい,感情:面白い,感情:穏やか,感情:しみじみ,感情:寂しい,感情:怒り,初句の音節数,二句の音節数,三句の音節数,四句の音節数,五句の音節数,合計音節数,タグ:日常,タグ:人間関係,タグ:仕事,タグ:人生,タグ:家族,タグ:恋愛,タグ:旅行,タグ:自然,タグ:時事
五匙しか,食べない夫に,粥を炊き,行平鍋の,窪みを磨く,1.75,1.75,4.75,5.5,5.25,4.5,,,,,,,1,0,0,0,1,0,0,0,0
,,,,山本,1,1,3,5,7,7,,,,,,,,,,,,,,,
,,,,海原,3,1,6,7,3,2,,,,,,,,,,,,,,,
,,,,山下,2,4,6,3,2,7,,,,,,,,,,,,,,,
,,,,大氏,1,1,4,7,9,2,,,,,,,,,,,,,,,
原発の,汚染処理水,受け入れて,太平洋は,少しふくらむ,1,1.25,1.75,4.75,3.5,6.75,,,,,,,0,0,0,0,0,0,0,0,1
,,,,山本,1,1,3,7,2,7,,,,,,,,,,,,,,,
,,,,海原,1,1,1,1,3,8,,,,,,,,,,,,,,,
,,,,山下,1,2,2,4,3,8,,,,,,,,,,,,,,,
,,,,大氏,1,1,1,7,6,4,,,,,,,,,,,,,,,
大事なこと,俺が決め,何が大事かは,妻が決めてる,平らかな日々,3.25,2,6.25,5.5,2,3.25,,,,,,,1,0,0,0,1,0,0,0,0
,,,,山本,2,2,5,5,3,2,,,,,,,,,,,,,,,
,,,,海原,4,2,7,7,2,2,,,,,,,,,,,,,,,
,,,,山下,2,3,5,4,2,7,,,,,,,,,,,,,,,
,,,,大氏,5,1,8,6,1,2,,,,,,,,,,,,,,,
人生は,均せば平らと,言い聞かす,谷底の日も,春陽は温し,1.5,1,4,6.25,4.75,4,,,,,,,0,0,0,1,0,0,0,0,0
,,,,山本,1,1,4,7,5,4,,,,,,,,,,,,,,,
,,,,海原,2,1,4,5,2,4,,,,,,,,,,,,,,,
,,,,山下,2,1,2,6,8,5,,,,,,,,,,,,,,,
,,,,大氏,1,1,6,7,4,3,,,,,,,,,,,,,,,
Ｉ・Ｈの,キッチン退きたる,行平鍋が,庭に働く,柄杓となりて,1.5,6,7,7,5.5,1.25,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,2,7,6,5,3,2,,,,,,,,,,,,,,,
,,,,海原,2,3,7,7,2,1,,,,,,,,,,,,,,,
,,,,山下,1,6,8,8,9,1,,,,,,,,,,,,,,,
,,,,大氏,1,8,7,8,8,1,,,,,,,,,,,,,,,
水のドア,何度も開ける,平泳ぎ,別の私が,いそうな気がして,4.75,6,4.75,3.75,1.75,1,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,8,6,6,5,3,1,,,,,,,,,,,,,,,
,,,,海原,5,8,4,4,1,1,,,,,,,,,,,,,,,
,,,,山下,3,2,4,3,2,1,,,,,,,,,,,,,,,
,,,,大氏,3,8,5,3,1,1,,,,,,,,,,,,,,,
まっしろの,金平糖を,黒髪に,おとすぼくらは,神話になれる,6.75,7.75,3.75,3.25,1,1,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,8,8,4,6,1,1,,,,,,,,,,,,,,,
,,,,海原,6,8,3,2,1,1,,,,,,,,,,,,,,,
,,,,山下,6,7,3,2,1,1,,,,,,,,,,,,,,,
,,,,大氏,7,8,5,3,1,1,,,,,,,,,,,,,,,
仁丹の,銀の光の,謎めけり,病弱なりし,父の手の平,1,1,4.25,7.5,7.75,1.25,,,,,,,0,0,0,0,1,0,0,0,0
,,,,山本,1,1,6,9,7,1,,,,,,,,,,,,,,,
,,,,海原,1,1,4,8,8,1,,,,,,,,,,,,,,,
,,,,山下,1,1,3,6,8,2,,,,,,,,,,,,,,,
,,,,大氏,1,1,4,7,8,1,,,,,,,,,,,,,,,
平然と,「知らない人だ」と,言う母の,娘になれず,面会終える,1,1,2.75,5.5,10,4.75,,,,,,,1,0,0,1,1,0,0,0,0
,,,,山本,1,1,4,6,10,3,,,,,,,,,,,,,,,
,,,,海原,1,1,3,6,10,4,,,,,,,,,,,,,,,
,,,,山下,1,1,1,3,10,9,,,,,,,,,,,,,,,
,,,,大氏,1,1,3,7,10,3,,,,,,,,,,,,,,,
わたしには,確かにきみと,わかるから,目玉おやぢで,帰つておいで,2.75,2.75,3,3.25,6.5,1.5,,,,,,,0,1,0,0,1,0,0,0,0
,,,,山本,6,8,5,3,4,2,,,,,,,,,,,,,,,
,,,,海原,2,1,3,4,7,2,,,,,,,,,,,,,,,
,,,,山下,1,1,2,4,7,1,,,,,,,,,,,,,,,
,,,,大氏,2,1,2,2,8,1,,,,,,,,,,,,,,,
夫と手を,繫ぐ事多く,なりてゆく,手摺途切れれば,差し伸べられて,8.25,3,7.5,8,1.5,1,,,,,,,1,0,0,0,1,0,0,0,0
,,,,山本,10,5,7,9,1,1,,,,,,,,,,,,,,,
,,,,海原,8,2,7,7,1,1,,,,,,,,,,,,,,,
,,,,山下,9,3,8,8,1,1,,,,,,,,,,,,,,,
,,,,大氏,6,2,8,8,3,1,,,,,,,,,,,,,,,
歩くたび,鈴は鳴るなり,ポケットに,わたしがわたしを,わすれぬやうに,3,3.75,6.25,5.75,4.25,1,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,5,5,5,3,2,1,,,,,,,,,,,,,,,
,,,,海原,3,5,8,7,4,1,,,,,,,,,,,,,,,
,,,,山下,2,2,5,6,8,1,,,,,,,,,,,,,,,
,,,,大氏,2,3,7,7,3,1,,,,,,,,,,,,,,,
うめ、さくら、,ばら、チューリップ,くらいしか,知らない僕の,「あの花」が咲く,8.5,4.75,5.5,5.5,1.5,1,,,,,,,0,0,0,0,0,0,0,1,0
,,,,山本,9,6,6,7,3,1,,,,,,,,,,,,,,,
,,,,海原,8,5,4,3,1,1,,,,,,,,,,,,,,,
,,,,山下,7,3,6,6,1,1,,,,,,,,,,,,,,,
,,,,大氏,10,5,6,6,1,1,,,,,,,,,,,,,,,
泣き声が,ロビーに響く,嗚呼これは,私を父に,するファンファーレ,10,6.25,5,8.5,1,1,,,,,,,0,0,0,1,1,0,0,0,0
,,,,山本,10,7,7,9,1,1,,,,,,,,,,,,,,,
,,,,海原,10,8,2,9,1,1,,,,,,,,,,,,,,,
,,,,山下,10,4,8,6,1,1,,,,,,,,,,,,,,,
,,,,大氏,10,6,3,10,1,1,,,,,,,,,,,,,,,
新三田,行きに乗れども,新三田,見ることはなし,未来のごとく,2.25,5.25,6,3.25,4.75,1.5,,,,,,,0,0,0,0,0,0,1,0,0
,,,,山本,4,4,7,3,2,1,,,,,,,,,,,,,,,
,,,,海原,2,3,4,4,8,3,,,,,,,,,,,,,,,
,,,,山下,2,9,7,2,2,1,,,,,,,,,,,,,,,
,,,,大氏,1,5,6,4,7,1,,,,,,,,,,,,,,,
故郷でも,郷里でもなく,「ふるさと」と,和語で呼びたき,町のありけり,6.75,3,9,9.5,4.25,1,,,,,,,0,0,0,0,0,0,1,0,0
,,,,山本,7,4,8,9,7,1,,,,,,,,,,,,,,,
,,,,海原,7,3,9,9,5,1,,,,,,,,,,,,,,,
,,,,山下,7,2,9,10,3,1,,,,,,,,,,,,,,,
,,,,大氏,6,3,10,10,2,1,,,,,,,,,,,,,,,
つめたいも,あったかいも出る,自販機の,灯みていた,病院の夜,2,1.5,5,7.75,8.75,1.25,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,4,3,6,7,7,1,,,,,,,,,,,,,,,
,,,,海原,2,1,6,7,9,1,,,,,,,,,,,,,,,
,,,,山下,1,1,3,8,9,2,,,,,,,,,,,,,,,
,,,,大氏,1,1,5,9,10,1,,,,,,,,,,,,,,,
スーパーの,帰りの橋に,妻といて,小魚に照る,この世のひかり,6,4,7.25,6.25,1.75,1,,,,,,,1,0,0,0,1,0,0,1,0
,,,,山本,7,6,4,3,3,1,,,,,,,,,,,,,,,
,,,,海原,8,3,7,9,1,1,,,,,,,,,,,,,,,
,,,,山下,2,4,8,5,2,1,,,,,,,,,,,,,,,
,,,,大氏,7,3,10,8,1,1,,,,,,,,,,,,,,,
食卓で,待つ者もなし,ざるの目に,詰まったひじき,ぽちぽちと抜く,1.5,2.25,5.75,6.5,6.5,4,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,2,2,4,5,3,7,,,,,,,,,,,,,,,
,,,,海原,2,1,6,7,7,3,,,,,,,,,,,,,,,
,,,,山下,1,3,6,7,9,1,,,,,,,,,,,,,,,
,,,,大氏,1,3,7,7,7,5,,,,,,,,,,,,,,,
三度目,鶏インフルの,報せあり,明日より緊急,動員という,1,1,1.25,1,1,5.75,,,,,,,0,0,1,0,0,0,0,0,1
,,,,山本,1,1,1,1,1,7,,,,,,,,,,,,,,,
,,,,海原,1,1,1,1,1,8,,,,,,,,,,,,,,,
,,,,山下,1,1,2,1,1,2,,,,,,,,,,,,,,,
,,,,大氏,1,1,1,1,1,6,,,,,,,,,,,,,,,
わずかなる,餌を啄む,にわとりの,百万羽の音,あすは消えなん,1.25,1,3.25,5.25,6.5,5,,,,,,,0,0,0,0,0,0,0,0,1
,,,,山本,1,1,3,6,7,5,,,,,,,,,,,,,,,
,,,,海原,1,1,1,5,8,7,,,,,,,,,,,,,,,
,,,,山下,2,1,7,6,8,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,2,4,3,7,,,,,,,,,,,,,,,
ひたひたと,夕闇迫り,てのひらの,芯につめたき,空気まとえり,1.5,1.25,4,5.5,5,1.5,,,,,,,1,0,0,0,0,0,0,1,0
,,,,山本,2,2,5,4,7,2,,,,,,,,,,,,,,,
,,,,海原,2,1,4,8,6,1,,,,,,,,,,,,,,,
,,,,山下,1,1,3,2,2,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,4,8,5,2,,,,,,,,,,,,,,,
処分へと,向かう途中に,零れおり,白き羽毛が,ふわんふわんと,1.25,1.25,3.25,6,9,3.5,,,,,,,0,0,0,0,0,0,0,0,1
,,,,山本,2,2,5,8,9,2,,,,,,,,,,,,,,,
,,,,海原,1,1,3,4,9,6,,,,,,,,,,,,,,,
,,,,山下,1,1,2,5,8,2,,,,,,,,,,,,,,,
,,,,大氏,1,1,3,7,10,4,,,,,,,,,,,,,,,
数滴の,血液混ざり,込むような,月夜に鶏の,処分始まる,1,1,2.75,5.25,8.75,4.75,,,,,,,0,0,0,0,0,0,0,0,1
,,,,山本,1,1,5,7,8,4,,,,,,,,,,,,,,,
,,,,海原,1,1,4,2,9,8,,,,,,,,,,,,,,,
,,,,山下,1,1,1,6,9,4,,,,,,,,,,,,,,,
,,,,大氏,1,1,1,6,9,3,,,,,,,,,,,,,,,
水を飲む,鶏のあいだを,抜けながら,鶏を籠めたる,ケージを運ぶ,1.25,2.25,2.25,5.75,5,1.75,,,,,,,0,0,1,0,0,0,0,0,0
,,,,山本,2,4,4,5,7,2,,,,,,,,,,,,,,,
,,,,海原,1,2,2,3,7,3,,,,,,,,,,,,,,,
,,,,山下,1,1,1,6,3,1,,,,,,,,,,,,,,,
,,,,大氏,1,2,2,9,3,1,,,,,,,,,,,,,,,
健康な,鶏もまとめて,殺さるる,濃厚接触,させし挙げ句に,1,1,1,2.75,7.5,8,,,,,,,0,0,0,0,0,0,0,0,1
,,,,山本,1,1,1,3,8,8,,,,,,,,,,,,,,,
,,,,海原,1,1,1,1,6,9,,,,,,,,,,,,,,,
,,,,山下,1,1,1,2,7,10,,,,,,,,,,,,,,,
,,,,大氏,1,1,1,5,9,5,,,,,,,,,,,,,,,
ガス室を,前に鶏らの,仰ぐ空,生まれてはじめて,見る大空か,1,1,2.5,7,6.25,3.75,,,,,,,0,0,0,0,0,0,0,1,1
,,,,山本,1,1,3,7,7,2,,,,,,,,,,,,,,,
,,,,海原,1,1,2,4,8,9,,,,,,,,,,,,,,,
,,,,山下,1,1,1,7,2,3,,,,,,,,,,,,,,,
,,,,大氏,1,1,4,10,8,1,,,,,,,,,,,,,,,
鶏たちの,安楽死とは,ほど遠し,ガスを浴びても,死ねぬ者居て,1,1,1.25,3.25,4.75,5,,,,,,,0,0,0,0,0,0,0,0,1
,,,,山本,1,1,2,4,6,4,,,,,,,,,,,,,,,
,,,,海原,1,1,1,3,2,8,,,,,,,,,,,,,,,
,,,,山下,1,1,1,2,2,4,,,,,,,,,,,,,,,
,,,,大氏,1,1,1,4,9,4,,,,,,,,,,,,,,,
出来立ての,鶏のなきがら,放るとき,微かにきゅっと,啼き声を聴く,1,1,2.5,4.75,7.5,3,,,,,,,0,0,1,0,0,0,0,0,0
,,,,山本,1,1,3,5,8,4,,,,,,,,,,,,,,,
,,,,海原,1,1,3,4,8,3,,,,,,,,,,,,,,,
,,,,山下,1,1,1,4,6,4,,,,,,,,,,,,,,,
,,,,大氏,1,1,3,6,8,1,,,,,,,,,,,,,,,
丹頂は,手厚く処置を,されていた,鶏の処分を,している時も,1.5,1.25,2.25,4.25,6.25,4.25,,,,,,,0,0,1,0,0,0,0,0,1
,,,,山本,2,1,3,4,6,4,,,,,,,,,,,,,,,
,,,,海原,2,1,3,2,7,3,,,,,,,,,,,,,,,
,,,,山下,1,2,2,5,4,6,,,,,,,,,,,,,,,
,,,,大氏,1,1,1,6,8,4,,,,,,,,,,,,,,,
吐く息が,数日鶏の,匂いせり,ひと夜鶏舎に,作業ののちの,1.75,4.25,4.5,5,3.5,1.75,,,,,,,0,0,1,0,0,0,0,0,0
,,,,山本,2,4,5,7,4,2,,,,,,,,,,,,,,,
,,,,海原,2,2,5,4,6,2,,,,,,,,,,,,,,,
,,,,山下,2,6,5,2,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,5,3,7,3,2,,,,,,,,,,,,,,,
朝夕と,巨大鶏舎に,無精卵,生み続けいし,生をおもえり,2.75,2.5,3,7,5.75,1.75,,,,,,,0,0,1,0,0,0,0,1,0
,,,,山本,7,7,4,5,2,1,,,,,,,,,,,,,,,
,,,,海原,2,1,4,7,6,3,,,,,,,,,,,,,,,
,,,,山下,1,1,3,8,7,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,1,8,8,2,,,,,,,,,,,,,,,
鶏卵の,高値ばかりを,世の中は,報じていたり,梅の散る頃,1.75,2.25,4.5,5,5.5,4.75,,,,,,,0,0,0,0,0,0,0,1,0
,,,,山本,4,4,4,6,7,7,,,,,,,,,,,,,,,
,,,,海原,1,3,4,5,7,5,,,,,,,,,,,,,,,
,,,,山下,1,1,6,4,2,3,,,,,,,,,,,,,,,
,,,,大氏,1,1,4,5,6,4,,,,,,,,,,,,,,,
からっぽの,鶏舎に再度,あらたなる,鶏の飼われる,準備はじまる,4.75,2.75,2.75,5.75,3.75,1,,,,,,,0,0,1,0,0,0,0,0,0
,,,,山本,9,4,3,3,2,1,,,,,,,,,,,,,,,
,,,,海原,7,5,3,7,3,1,,,,,,,,,,,,,,,
,,,,山下,1,1,3,6,6,1,,,,,,,,,,,,,,,
,,,,大氏,2,1,2,7,4,1,,,,,,,,,,,,,,,
「この味が,いいね」と君が,言ったから,七月六日は,サラダ記念日,9.25,6,7,6,1,1,,,,,,,1,0,0,0,0,1,0,0,0
,,,,山本,10,10,3,3,1,1,,,,,,,,,,,,,,,
,,,,海原,10,5,7,7,1,1,,,,,,,,,,,,,,,
,,,,山下,8,2,10,9,1,1,,,,,,,,,,,,,,,
,,,,大氏,9,7,8,5,1,1,,,,,,,,,,,,,,,
明日まで,一緒にいたい,心だけ,ホームに置いて,乗る終電車,2.25,1.75,4.25,7,9.75,1.25,,,,,,,0,0,0,0,0,1,0,0,0
,,,,山本,3,3,3,5,10,1,,,,,,,,,,,,,,,
,,,,海原,4,2,4,7,9,2,,,,,,,,,,,,,,,
,,,,山下,1,1,5,6,10,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,5,10,10,1,,,,,,,,,,,,,,,
白菜が,赤帯しめて,店先に,うっふんうっふん,肩を並べる,4.5,9.25,5,2.25,1.25,1,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,5,9,2,2,2,1,,,,,,,,,,,,,,,
,,,,海原,4,8,3,2,1,1,,,,,,,,,,,,,,,
,,,,山下,4,10,8,2,1,1,,,,,,,,,,,,,,,
,,,,大氏,5,10,7,3,1,1,,,,,,,,,,,,,,,
自転車の,後ろに乗って,この街の,右側だけを,知っていた夏,5,3.5,6.25,7.5,3.75,1,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,7,3,4,6,1,1,,,,,,,,,,,,,,,
,,,,海原,5,3,4,5,6,1,,,,,,,,,,,,,,,
,,,,山下,3,3,7,9,3,1,,,,,,,,,,,,,,,
,,,,大氏,5,5,10,10,5,1,,,,,,,,,,,,,,,
ガーベラも,ダリアも花と,呼ぶきみが,コスモスだけは,コスモスと呼ぶ,4.25,5.75,5.75,4.25,1.5,1,,,,,,,1,0,0,0,0,0,0,1,0
,,,,山本,4,7,3,6,2,1,,,,,,,,,,,,,,,
,,,,海原,7,3,4,5,1,1,,,,,,,,,,,,,,,
,,,,山下,2,4,8,2,1,1,,,,,,,,,,,,,,,
,,,,大氏,4,9,8,4,2,1,,,,,,,,,,,,,,,
未来とは,レモン氷の,向こうなる,おまえの八重歯に,映った花火,5.25,6,5,6,1.5,1,,,,,,,0,0,0,1,0,0,0,0,0
,,,,山本,6,5,4,7,1,1,,,,,,,,,,,,,,,
,,,,海原,7,3,4,6,3,1,,,,,,,,,,,,,,,
,,,,山下,4,7,7,7,1,1,,,,,,,,,,,,,,,
,,,,大氏,4,9,5,4,1,1,,,,,,,,,,,,,,,
たっぷりと,君に抱かれて,いるような,グリンのセーター,着て冬になる,8,3.75,6.75,6,2.5,1,,,,,,,1,0,0,0,0,1,0,0,0
,,,,山本,9,5,4,6,1,1,,,,,,,,,,,,,,,
,,,,海原,8,3,5,3,1,1,,,,,,,,,,,,,,,
,,,,山下,8,2,8,5,1,1,,,,,,,,,,,,,,,
,,,,大氏,7,5,10,10,7,1,,,,,,,,,,,,,,,
寄せ返す,波のしぐさの,優しさに,いつ言われても,いいさようなら,5.5,3.5,6.25,6.25,6.25,1.25,,,,,,,0,0,0,0,0,0,0,1,0
,,,,山本,8,6,6,5,2,1,,,,,,,,,,,,,,,
,,,,海原,4,1,4,6,8,2,,,,,,,,,,,,,,,
,,,,山下,4,1,5,7,8,1,,,,,,,,,,,,,,,
,,,,大氏,6,6,10,7,7,1,,,,,,,,,,,,,,,
鮭の死を,米で包んで,またさらに,海苔で包んだ,あれが食べたい,4.5,7.5,5.25,3,1.5,1,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,6,8,3,3,2,1,,,,,,,,,,,,,,,
,,,,海原,4,6,5,3,1,1,,,,,,,,,,,,,,,
,,,,山下,2,9,8,3,2,1,,,,,,,,,,,,,,,
,,,,大氏,6,7,5,3,1,1,,,,,,,,,,,,,,,
きみとの恋,終わりプールに,泳ぎおり,十メートル地点で,悲しみがくる,1,1.25,3.75,7.75,9.75,1,,,,,,,0,1,0,0,0,1,0,0,0
,,,,山本,1,1,2,7,10,1,,,,,,,,,,,,,,,
,,,,海原,1,1,2,8,10,1,,,,,,,,,,,,,,,
,,,,山下,1,2,5,6,9,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,6,10,10,1,,,,,,,,,,,,,,,
「はなびら」と,点字をなぞる,ああ、これは,桜の可能,性が大きい,6.25,4,7.25,6,2,1,,,,,,,0,0,0,0,0,0,0,1,0
,,,,山本,7,5,6,6,2,1,,,,,,,,,,,,,,,
,,,,海原,7,4,6,8,3,1,,,,,,,,,,,,,,,
,,,,山下,4,1,8,5,1,1,,,,,,,,,,,,,,,
,,,,大氏,7,6,9,5,2,1,,,,,,,,,,,,,,,
体温計,くわえて窓に,額つけ,「ゆひら」とさわぐ,雪のことかよ,2.75,3.25,6.75,5.75,4.75,1.25,,,,,,,1,0,0,0,1,0,0,1,0
,,,,山本,2,2,6,6,7,2,,,,,,,,,,,,,,,
,,,,海原,4,2,6,7,2,1,,,,,,,,,,,,,,,
,,,,山下,4,8,8,2,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,7,8,9,1,,,,,,,,,,,,,,,
ゼラチンの,菓子をすくえば,今満ちる,雨の匂いに,包まれてひとり,1.5,2.25,6.5,6.5,8.75,1,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,2,2,6,7,9,1,,,,,,,,,,,,,,,
,,,,海原,1,1,6,7,9,1,,,,,,,,,,,,,,,
,,,,山下,1,1,5,3,8,1,,,,,,,,,,,,,,,
,,,,大氏,2,5,9,9,9,1,,,,,,,,,,,,,,,
終バスに,ふたりは眠る,紫の, ＜降りますランプ＞に,取り囲まれて,3.75,4,6.75,5.75,3.75,1,,,,,,,1,0,0,0,0,1,0,0,0
,,,,山本,2,5,7,7,3,1,,,,,,,,,,,,,,,
,,,,海原,4,2,6,4,3,1,,,,,,,,,,,,,,,
,,,,山下,2,3,5,3,6,1,,,,,,,,,,,,,,,
,,,,大氏,7,6,9,9,3,1,,,,,,,,,,,,,,,
目覚めたら,息まっしろで、,これはもう、,ほんかくてきよ、,ほんかくてき,5.25,6.25,5,5,1.75,1,,,,,,,1,0,0,0,0,0,0,1,0
,,,,山本,7,8,6,7,2,1,,,,,,,,,,,,,,,
,,,,海原,7,3,2,6,1,1,,,,,,,,,,,,,,,
,,,,山下,4,8,7,3,1,1,,,,,,,,,,,,,,,
,,,,大氏,3,6,5,4,3,1,,,,,,,,,,,,,,,
夏の夜の,すべての重力,受けとめて,金魚すくいの,ポイが破れる,3.25,7.75,4.25,5.25,3.25,2.5,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,5,8,5,7,1,1,,,,,,,,,,,,,,,
,,,,海原,4,7,3,5,5,1,,,,,,,,,,,,,,,
,,,,山下,2,6,6,7,3,1,,,,,,,,,,,,,,,
,,,,大氏,2,10,3,2,4,7,,,,,,,,,,,,,,,
しつけ糸,ほどけるように,向日葵が,遠いひかりに,ひらかれてゆく,4.25,3.5,7.25,6.25,2,1,,,,,,,0,0,0,0,0,0,0,1,0
,,,,山本,1,1,7,7,3,1,,,,,,,,,,,,,,,
,,,,海原,9,6,6,7,1,1,,,,,,,,,,,,,,,
,,,,山下,3,3,8,5,1,1,,,,,,,,,,,,,,,
,,,,大氏,4,4,8,6,3,1,,,,,,,,,,,,,,,
雪まみれの,頭をふって,きみはもう,絶対泣かない,機械となりぬ,3.75,2.75,3.75,5.5,4,1,,,,,,,0,1,0,0,0,0,0,1,0
,,,,山本,2,2,6,7,5,1,,,,,,,,,,,,,,,
,,,,海原,7,3,3,6,2,1,,,,,,,,,,,,,,,
,,,,山下,1,1,2,6,8,1,,,,,,,,,,,,,,,
,,,,大氏,5,5,4,3,1,1,,,,,,,,,,,,,,,
庭先で,ゆっくり死んで,ゆくシロが,ちょっと笑った,夏休みです,2,1,6,7.25,9.25,1,,,,,,,0,0,0,1,1,0,0,0,0
,,,,山本,1,1,6,7,10,1,,,,,,,,,,,,,,,
,,,,海原,1,1,5,8,9,1,,,,,,,,,,,,,,,
,,,,山下,4,1,4,6,8,1,,,,,,,,,,,,,,,
,,,,大氏,2,1,9,8,10,1,,,,,,,,,,,,,,,
ぼくの持つ,バケツに落ちた, 月を食い,めだかの腹は,ふくらんでゆく,5,6.75,6,6,1.666666667,1,,,,,,,0,0,0,0,0,0,0,1,0
,,,,山本,9,10,5,6,1,1,,,,,,,,,,,,,,,
,,,,海原,4,7,6,7,2,1,,,,,,,,,,,,,,,
,,,,山下,3,3,5,6,1,1,,,,,,,,,,,,,,,
,,,,大氏,4,7,8,5,2,1,,,,,,,,,,,,,,,
とぶために,四階に来て,はつなつの,明るいベラン,ダに靴を脱ぐ,6.75,4.75,5.5,4.5,1,1,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,9,7,5,5,1,1,,,,,,,,,,,,,,,
,,,,海原,6,7,4,5,1,1,,,,,,,,,,,,,,,
,,,,山下,7,2,6,2,1,1,,,,,,,,,,,,,,,
,,,,大氏,5,3,7,6,1,1,,,,,,,,,,,,,,,
十七の,春に自分の,一生に,嫌気がさして,二十年経つ,1,1.75,2.5,4.75,5,4.75,,,,,,,0,0,0,1,0,0,0,0,0
,,,,山本,1,1,2,2,5,7,,,,,,,,,,,,,,,
,,,,海原,1,1,2,1,8,6,,,,,,,,,,,,,,,
,,,,山下,1,3,3,9,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,2,3,7,6,5,,,,,,,,,,,,,,,
全員が,サラダバーに,行ってる時に,全部のカバン,見てる役割,1.5,5.5,4,1.75,7.25,6.25,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,1,1,2,3,7,9,,,,,,,,,,,,,,,
,,,,海原,3,4,4,2,10,4,,,,,,,,,,,,,,,
,,,,山下,1,7,5,1,6,4,,,,,,,,,,,,,,,
,,,,大氏,1,10,5,1,6,8,,,,,,,,,,,,,,,
ハムレタス,サンドは床に,落ちパンと,レタスとハムと,パンに分かれた,1.25,7,4.25,1.75,3.5,4.25,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,2,7,3,3,3,2,,,,,,,,,,,,,,,
,,,,海原,1,7,3,1,3,3,,,,,,,,,,,,,,,
,,,,山下,1,6,6,1,5,5,,,,,,,,,,,,,,,
,,,,大氏,1,8,5,2,3,7,,,,,,,,,,,,,,,
もういやだ,死にたいそして,ほとぼりが,冷めたあたりで,生き返りたい,1,3,2,2.25,3.75,7.5,,,,,,,0,0,0,1,0,0,0,0,0
,,,,山本,1,1,1,2,6,8,,,,,,,,,,,,,,,
,,,,海原,1,1,1,1,5,8,,,,,,,,,,,,,,,
,,,,山下,1,1,1,2,3,8,,,,,,,,,,,,,,,
,,,,大氏,1,9,5,4,1,6,,,,,,,,,,,,,,,
